features,target
adorável,qualidade
afável,qualidade
afetivo,qualidade
agradável,qualidade
ajuizado,qualidade
alegre,qualidade
altruísta,qualidade
amável,qualidade
amigável,qualidade
amoroso,qualidade
aplicado,qualidade
assertivo,qualidade
atencioso,qualidade
atento,qualidade
autêntico,qualidade
aventureiro,qualidade
bacana,qualidade
benévolo,qualidade
bondoso,qualidade
brioso,qualidade
calmo,qualidade
carinhoso,qualidade
carismático,qualidade
caritativo,qualidade
cavalheiro,qualidade
cívico,qualidade
civilizado,qualidade
companheiro,qualidade
compreensivo,qualidade
comunicativo,qualidade
confiante,qualidade
confiável,qualidade
consciencioso,qualidade
corajoso,qualidade
cordial,qualidade
cortês,qualidade
credível,qualidade
criativo,qualidade
criterioso,qualidade
cuidadoso,qualidade
curioso,qualidade
decente,qualidade
decoroso,qualidade
dedicado,qualidade
descontraído,qualidade
desenvolto,qualidade
determinado,qualidade
digno,qualidade
diligente,qualidade
disciplinado,qualidade
disponível,qualidade
divertido,qualidade
doce,qualidade
educado,qualidade
eficiente,qualidade
eloquente,qualidade
empático,qualidade
empenhado,qualidade
empreendedor,qualidade
encantador,qualidade
engraçado,qualidade
entusiasta,qualidade
escrupuloso,qualidade
esforçado,qualidade
esmerado,qualidade
esperançoso,qualidade
esplêndido,qualidade
excelente,qualidade
extraordinário,qualidade
extrovertido,qualidade
feliz,qualidade
fiel,qualidade
fofo,qualidade
forte,qualidade
franco,qualidade
generoso,qualidade
gentil,qualidade
genuíno,qualidade
habilidoso,qualidade
honesto,qualidade
honrado,qualidade
honroso,qualidade
humanitário,qualidade
humilde,qualidade
idôneo,qualidade
imparcial,qualidade
independente,qualidade
inovador,qualidade
íntegro,qualidade
inteligente,qualidade
inventivo,qualidade
justo,qualidade
leal,qualidade
legal,qualidade
livre,qualidade
maduro,qualidade
maravilhoso,qualidade
meigo,qualidade
modesto,qualidade
natural,qualidade
nobre,qualidade
observador,qualidade
organizado,qualidade
otimista,qualidade
ousado,qualidade
pacato,qualidade
paciente,qualidade
perfeccionista,qualidade
perseverante,qualidade
persistente,qualidade
perspicaz,qualidade
ponderado,qualidade
pontual,qualidade
preocupado,qualidade
preparado,qualidade
prestativo,qualidade
prestável,qualidade
proativo,qualidade
produtivo,qualidade
prudente,qualidade
racional,qualidade
respeitador,qualidade
responsável,qualidade
sábio,qualidade
sagaz,qualidade
sensato,qualidade
sensível,qualidade
simpático,qualidade
sincero,qualidade
solícito,qualidade
solidário,qualidade
sossegado,qualidade
ternurento,qualidade
tolerante,qualidade
tranquilo,qualidade
transparente,qualidade
valente,qualidade
valoroso,qualidade
verdadeiro,qualidade
zeloso,qualidade
agressivo,defeito
ansioso,defeito
antipático,defeito
antissocial,defeito
apático,defeito
apressado,defeito
arrogante,defeito
atrevido,defeito
autoritário,defeito
avarento,defeito
birrento,defeito
bisbilhoteiro,defeito
bruto,defeito
calculista,defeito
casmurro,defeito
chato,defeito
cínico,defeito
ciumento,defeito
colérico,defeito
comodista,defeito
covarde,defeito
crítico,defeito
cruel,defeito
debochado,defeito
depressivo,defeito
desafiador,defeito
desbocado,defeito
descarado,defeito
descomedido,defeito
desconfiado,defeito
descortês,defeito
desequilibrado,defeito
desleal,defeito
desleixado,defeito
desmazelado,defeito
desmotivado,defeito
desobediente,defeito
desonesto,defeito
desordeiro,defeito
despótico,defeito
desumano,defeito
discriminador,defeito
dissimulado,defeito
distraído,defeito
egoísta,defeito
estourado,defeito
estressado,defeito
exigente,defeito
falso,defeito
fingido,defeito
fraco,defeito
frio,defeito
frívolo,defeito
fútil,defeito
ganancioso,defeito
grosseiro,defeito
grosso,defeito
hipócrita,defeito
ignorante,defeito
impaciente,defeito
impertinente,defeito
impetuoso,defeito
impiedoso,defeito
imponderado,defeito
impostor,defeito
imprudente,defeito
impulsivo,defeito
incompetente,defeito
inconstante,defeito
inconveniente,defeito
incorreto,defeito
indeciso,defeito
indecoroso,defeito
indelicado,defeito
indiferente,defeito
infiel,defeito
inflexível,defeito
injusto,defeito
inseguro,defeito
insensato,defeito
insincero,defeito
instável,defeito
insuportável,defeito
interesseiro,defeito
intolerante,defeito
intransigente,defeito
irracional,defeito
irascível,defeito
irrequieto,defeito
irresponsável,defeito
irritadiço,defeito
malandro,defeito
maldoso,defeito
malicioso,defeito
malvado,defeito
mandão,defeito
manhoso,defeito
maquiavélico,defeito
medroso,defeito
mentiroso,defeito
mesquinho,defeito
narcisista,defeito
negligente,defeito
nervoso,defeito
neurótico,defeito
obcecado,defeito
odioso,defeito
oportunista,defeito
orgulhoso,defeito
pedante,defeito
pessimista,defeito
pé-frio,defeito
possessivo,defeito
precipitado,defeito
preconceituoso,defeito
preguiçoso,defeito
prepotente,defeito
presunçoso,defeito
problemático,defeito
quezilento,defeito
rancoroso,defeito
relapso,defeito
rigoroso,defeito
rabugento,defeito
rude,defeito
sarcástico,defeito
sedentário,defeito
teimoso,defeito
tímido,defeito
tirano,defeito
traiçoeiro,defeito
traidor,defeito
trapaceiro,defeito
tendencioso,defeito
trocista,defeito
vagabundo,defeito
vaidoso,defeito
vulnerável,defeito
vigarista,defeito
xenófobo,defeito
